 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 4.85599994659424E-0001  8.36543694569277E-0001  4.69364476310401E+0002  8.36543694569277E-0001  4.69364476310401E+0002  8.36543694569277E-0001  4.69364476310401E+0002
 5.36800026893616E-0001  8.18968254146107E-0001  5.89753105568561E+0002  8.18968254146107E-0001  5.89753105568561E+0002  8.18968254146107E-0001  5.89753105568561E+0002
 5.87999999523163E-0001  8.00223977258705E-0001  4.51141095104661E+0002  8.00223977258705E-0001  4.51141095104661E+0002  8.00223977258705E-0001  4.51141095104661E+0002
 6.39199972152710E-0001  7.86897803797425E-0001  4.60852866958074E+0002  7.86897803797425E-0001  4.60852866958074E+0002  7.86897803797425E-0001  4.60852866958074E+0002
 6.90400004386902E-0001  7.67965286296658E-0001  4.22751845483131E+0002  7.67965286296658E-0001  4.22751845483131E+0002  7.67965286296658E-0001  4.22751845483131E+0002
 7.41599977016449E-0001  7.54156540905735E-0001  3.86248801124922E+0002  7.54156540905735E-0001  3.86248801124922E+0002  7.54156540905735E-0001  3.86248801124922E+0002
 7.92800009250641E-0001  7.38734622025899E-0001  3.22544548453812E+0002  7.38734622025899E-0001  3.22544548453812E+0002  7.38734622025899E-0001  3.22544548453812E+0002
 8.69599997997284E-0001  7.18062414550134E-0001  3.90601363799151E+0002  7.18062414550134E-0001  3.90601363799151E+0002  7.18062414550134E-0001  3.90601363799151E+0002
 9.72000002861023E-0001  6.90902109341580E-0001  3.65280002902921E+0002  6.90902109341580E-0001  3.65280002902921E+0002  6.90902109341580E-0001  3.65280002902921E+0002
 1.07439994812012E+0000  6.65588219138911E-0001  4.01788889647274E+0002  6.65588219138911E-0001  4.01788889647274E+0002  6.65588219138911E-0001  4.01788889647274E+0002
 1.17680001258850E+0000  6.43213238899983E-0001  3.41878253415419E+0002  6.43213238899983E-0001  3.41878253415419E+0002  6.43213238899983E-0001  3.41878253415419E+0002
 1.27919995784760E+0000  6.21237764503944E-0001  2.74303199250765E+0002  6.21237764503944E-0001  2.74303199250765E+0002  6.21237764503944E-0001  2.74303199250765E+0002
 1.38160002231598E+0000  6.00723354425215E-0001  3.44218935991885E+0002  6.00723354425215E-0001  3.44218935991885E+0002  6.00723354425215E-0001  3.44218935991885E+0002
 1.48399996757507E+0000  5.80553055506682E-0001  3.39850833505319E+0002  5.80553055506682E-0001  3.39850833505319E+0002  5.80553055506682E-0001  3.39850833505319E+0002
 1.58640003204346E+0000  5.60745487721263E-0001  3.22858035258449E+0002  5.60745487721263E-0001  3.22858035258449E+0002  5.60745487721263E-0001  3.22858035258449E+0002
 1.74000000953674E+0000  5.37520811173514E-0001  3.08878272473932E+0002  5.37520811173514E-0001  3.08878272473932E+0002  5.37520811173514E-0001  3.08878272473932E+0002
